rat,session_nr,performance,catch_session,catch_nr,outcome
1,1,53.3,0,NaN,NaN
1,2,40,0,NaN,NaN
1,3,80,1,1,E
1,4,33.3,0,NaN,NaN
1,5,53.3,0,NaN,NaN
1,6,86.6,1,2,A
1,7,46.6,0,NaN,NaN
1,8,86.6,1,3,A
1,9,80,1,4,E
2,1,53.8,0,NaN,NaN
2,2,73.3,0,NaN,NaN
2,3,60,0,NaN,NaN
2,4,53.3,0,NaN,NaN
2,5,66.6,0,NaN,NaN
2,6,66.6,0,NaN,NaN
2,7,80,1,1,A
2,8,73.3,0,NaN,NaN
2,9,93.3,1,2,E
2,10,73.3,0,NaN,NaN
2,11,73.3,0,NaN,NaN
2,12,80,1,3,E
2,13,73.3,0,NaN,NaN
2,14,80,1,4,E
3,1,66.6,0,NaN,NaN
3,2,73.3,0,NaN,NaN
3,3,80,1,1,E
3,4,73.3,0,NaN,NaN
3,5,53.3,0,NaN,NaN
3,6,60,0,NaN,NaN
3,7,66.6,0,NaN,NaN
3,8,66.6,0,NaN,NaN
3,9,66.6,0,NaN,NaN
3,10,60,0,NaN,NaN
3,11,53.3,0,NaN,NaN
3,12,80,1,2,A
3,13,86.6,1,3,A
3,14,60,0,NaN,NaN
3,15,100,1,4,A
4,1,75,0,NaN,NaN
4,2,54.5,0,NaN,NaN
4,3,53.3,0,NaN,NaN
4,4,33.3,0,NaN,NaN
4,5,73.3,0,NaN,NaN
4,6,80,1,1,E
4,7,80,1,2,E
4,8,66.6,0,NaN,NaN
4,9,73.3,0,NaN,NaN
4,10,66.6,0,NaN,NaN
4,11,93.3,1,3,E
4,12,66.6,0,NaN,NaN
4,13,86.6,1,4,E
5,1,75,0,NaN,NaN
5,2,60,0,NaN,NaN
5,3,93.3,1,1,A
5,4,86.6,1,2,E
5,5,86.6,1,3,A
5,6,80,1,4,E
6,1,42.8,0,NaN,NaN
6,2,80,1,1,A
6,3,53.3,0,NaN,NaN
6,4,50,0,NaN,NaN
6,5,53.3,0,NaN,NaN
6,6,53.3,0,NaN,NaN
6,7,53.3,0,NaN,NaN
6,8,66.6,0,NaN,NaN
6,9,80,1,2,E
6,10,80,1,3,A
6,11,80,1,4,E
7,1,71.4,0,NaN,NaN
7,2,66.6,0,NaN,NaN
7,3,53.3,0,NaN,NaN
7,4,66.6,0,NaN,NaN
7,5,93.3,1,1,E
7,6,60,0,NaN,NaN
7,7,46.1,0,NaN,NaN
7,8,86.6,1,2,A
7,9,46.6,0,NaN,NaN
7,10,66.6,0,NaN,NaN
7,11,73.3,0,NaN,NaN
7,12,66.6,0,NaN,NaN
7,13,93.3,1,3,A
7,14,86.6,1,4,E
8,1,80,1,1,E
8,2,66.6,0,NaN,NaN
8,3,53.3,0,NaN,NaN
8,4,73.3,0,NaN,NaN
8,5,73.3,0,NaN,NaN
8,6,73.3,0,NaN,NaN
8,7,66.6,0,NaN,NaN
8,8,73.3,0,NaN,NaN
8,9,86.6,1,2,A
8,10,60,0,NaN,NaN
8,11,73.3,0,NaN,NaN
8,12,66.6,0,NaN,NaN
8,13,73.3,0,NaN,NaN
8,14,80,1,3,E
8,15,80,1,4,E
9,1,66.6,0,NaN,NaN
9,2,73.3,0,NaN,NaN
9,3,80,1,1,A
9,4,86.6,1,2,A
9,5,86.6,1,3,A
9,6,60,0,NaN,NaN
9,7,73.3,0,NaN,NaN
9,8,66.6,0,NaN,NaN
9,9,66.6,0,NaN,NaN
9,10,60,0,NaN,NaN
9,11,60,0,NaN,NaN
9,12,53.3,0,NaN,NaN
9,13,86.6,1,4,E
10,1,71.4,0,NaN,NaN
10,2,71.4,0,NaN,NaN
10,3,50,0,NaN,NaN
10,4,50,0,NaN,NaN
10,5,57.1,0,NaN,NaN
10,6,66.6,0,NaN,NaN
10,7,80,1,1,A
10,8,93.3,1,2,A
10,9,80,1,3,E
10,10,80,1,4,A
11,1,57.1,0,NaN,NaN
11,2,86.6,1,1,A
11,3,46.6,0,NaN,NaN
11,4,73.3,0,NaN,NaN
11,5,66.6,0,NaN,NaN
11,6,73.3,0,NaN,NaN
11,7,86.6,1,2,A
11,8,86.6,1,3,A
11,9,93.3,1,4,E
12,1,63.6,0,NaN,NaN
12,2,66.6,0,NaN,NaN
12,3,45.5,0,NaN,NaN
12,4,50,0,NaN,NaN
12,5,80,1,1,A
12,6,46.6,0,NaN,NaN
12,7,86.6,1,2,A
12,8,73.3,0,NaN,NaN
12,9,80,1,3,E
12,10,50,0,NaN,NaN
12,11,93.3,1,4,A
