,rat,catch_nr,trial,latency_s1,latency_s2,latency_s3,latency_t1,latency_t2,latency_t3,latency_to_choice,log_latency_to_choice
4,1,1,-1,2.74,3.15,1.46,1.01,0.4,1.06,1.4100000000000001,0.14921911265537993
5,1,1,0,0.92,0.44,1.06,5.18,4.88,1.26,10.059999999999999,1.0025979807199086
10,1,2,-1,1.16,0.39,1.12,0.88,0.37,1.15,1.25,0.09691001300805642
11,1,2,0,0.78,0.32,1.07,12.62,5.56,1.38,18.18,1.2595938788859486
16,1,3,-1,0.82,0.38,1.16,0.69,0.39,1.19,1.08,0.03342375548694973
17,1,3,0,0.82,0.31,1.07,2.49,0.79,1.25,3.2800000000000002,0.5158738437116791
22,1,4,-1,0.87,0.23,1.15,0.84,0.31,1.09,1.15,0.06069784035361165
23,1,4,0,0.86,0.32,1.04,1.47,0.35,1.02,1.8199999999999998,0.26007138798507473
28,2,1,-1,0.75,0.56,0.93,0.85,0.31,0.81,1.16,0.06445798922691845
29,2,1,0,0.94,0.39,1.0,3.2,2.93,2.23,6.130000000000001,0.787460474518415
34,2,2,-1,1.04,0.32,1.16,0.79,0.34,1.09,1.1300000000000001,0.053078443483419765
35,2,2,0,0.98,0.32,1.05,2.42,0.6,1.47,3.02,0.48000694295715063
40,2,3,-1,0.97,0.39,1.15,0.9,0.36,1.24,1.26,0.10037054511756291
41,2,3,0,0.89,0.34,4.49,1.12,0.95,1.68,2.0700000000000003,0.3159703454569178
46,2,4,-1,0.82,0.31,1.07,2.32,0.43,1.07,2.75,0.43933269383026263
47,2,4,0,0.84,0.33,1.05,2.46,4.83,1.24,7.29,0.8627275283179746
52,3,1,-1,0.84,0.33,1.53,0.81,0.33,1.28,1.1400000000000001,0.05690485133647264
53,3,1,0,0.87,0.35,1.08,4.24,1.41,1.92,5.65,0.7520484478194386
58,3,2,-1,0.8,0.3,1.04,0.85,0.26,1.09,1.1099999999999999,0.045322978786657385
59,3,2,0,0.61,0.31,1.17,1.07,2.1,1.07,3.17,0.5010592622177514
64,3,3,-1,0.68,0.48,1.13,0.82,0.26,1.07,1.08,0.03342375548694973
65,3,3,0,0.79,0.25,1.17,1.14,1.02,0.98,2.16,0.3344537511509309
70,3,4,-1,0.85,0.36,1.11,0.76,0.23,1.07,0.99,-0.004364805402450088
71,3,4,0,0.75,0.34,0.96,3.04,0.23,0.96,3.27,0.5145477526602861
76,4,1,-1,0.91,0.28,1.03,0.85,0.37,1.18,1.22,0.08635983067474821
77,4,1,0,0.83,0.35,1.0,0.79,0.96,12.37,1.75,0.24303804868629444
82,4,2,-1,0.77,0.23,1.26,0.94,0.22,1.1,1.16,0.06445798922691845
83,4,2,0,0.89,0.27,1.24,2.69,3.33,1.44,6.02,0.7795964912578245
88,4,3,-1,0.72,0.21,1.0,0.93,0.44,0.77,1.37,0.1367205671564068
89,4,3,0,0.89,0.23,0.77,1.72,1.04,1.33,2.76,0.4409090820652177
94,4,4,-1,0.8,0.47,1.1,1.01,5.23,1.28,6.24,0.795184589682424
95,4,4,0,1.26,0.41,1.39,11.19,19.76,11.72,30.950000000000003,1.4906606533561368
100,5,1,-1,1.06,1.2,1.2,0.92,0.34,1.18,1.26,0.10037054511756291
101,5,1,0,0.76,2.29,1.25,2.2,16.81,1.15,19.009999999999998,1.2789821168654432
106,5,2,-1,0.87,0.28,0.91,0.72,0.36,0.89,1.08,0.03342375548694973
107,5,2,0,0.81,0.33,1.01,0.89,0.36,27.03,1.25,0.09691001300805642
112,5,3,-1,0.92,0.24,0.99,0.87,0.32,1.06,1.19,0.07554696139253074
113,5,3,0,0.93,1.36,0.91,0.9,6.19,4.64,7.090000000000001,0.8506462351830666
118,5,4,-1,0.86,1.0,0.8,1.08,1.62,1.17,2.7,0.43136376415898736
119,5,4,0,0.91,1.68,6.76,1.06,3.75,6.6,4.8100000000000005,0.6821450763738318
124,6,1,-1,0.93,1.337,1.23,1.01,27.38,1.43,28.39,1.4531653925258572
125,6,1,0,1.0,1.85,2.53,1.05,1.33,1.33,2.38,0.37657695705651195
130,6,2,-1,0.72,1.86,1.03,0.89,1.49,1.15,2.38,0.37657695705651195
131,6,2,0,0.8,1.2,1.0,1.19,2.69,1.34,3.88,0.5888317255942073
136,6,3,-1,0.94,2.53,1.01,1.0,0.49,0.9,1.49,0.17318626841227402
137,6,3,0,0.8,0.32,1.16,2.02,0.43,1.16,2.45,0.3891660843645325
142,6,4,-1,0.72,0.23,0.96,0.63,0.42,0.98,1.05,0.021189299069938092
143,6,4,0,0.8,0.25,1.01,1.09,1.69,1.3,2.7800000000000002,0.44404479591807633
148,7,1,-1,3.5,12.12,1.69,0.85,0.32,1.1,1.17,0.06818586174616162
149,7,1,0,0.98,0.62,1.37,4.05,1.71,1.39,5.76,0.7604224834232121
154,7,2,-1,0.75,0.35,0.92,0.59,0.36,1.11,0.95,-0.022276394711152253
155,7,2,0,0.7,0.31,1.07,2.43,1.84,0.86,4.2700000000000005,0.630427875025024
160,7,3,-1,0.94,0.32,1.18,0.93,0.26,1.36,1.19,0.07554696139253074
161,7,3,0,0.92,0.23,1.18,0.99,0.97,1.03,1.96,0.292256071356476
166,7,4,-1,0.82,0.23,1.36,0.72,0.25,1.02,0.97,-0.01322826573375516
167,7,4,0,0.71,0.3,1.03,0.73,0.56,1.16,1.29,0.11058971029924898
172,8,1,-1,1.2,0.41,1.63,1.24,0.41,1.59,1.65,0.21748394421390627
173,8,1,0,3.23,0.23,1.4,1.7,0.78,3.12,2.48,0.3944516808262163
178,8,2,-1,2.42,0.41,1.33,0.66,0.44,0.98,1.1,0.04139268515822508
179,8,2,0,0.63,0.34,1.13,1.34,2.12,1.5,3.46,0.5390760987927766
184,8,3,-1,0.85,0.27,1.34,0.69,0.3,1.32,0.99,-0.004364805402450088
185,8,3,0,0.9,2.74,1.51,1.26,1.48,1.05,2.74,0.437750562820388
190,8,4,-1,0.91,0.25,1.22,0.89,0.24,1.15,1.13,0.05307844348341968
191,8,4,0,0.94,0.23,1.3,1.5,3.36,1.5,4.859999999999999,0.6866362692622934
196,9,1,-1,6.12,0.24,1.1,2.08,0.41,1.22,2.49,0.3961993470957364
197,9,1,0,6.89,2.4,1.17,0.89,1.17,2.9,2.06,0.31386722036915343
202,9,2,-1,1.07,3.97,5.77,1.01,3.0,4.64,4.01,0.6031443726201823
203,9,2,0,0.86,3.28,1.19,0.88,1.01,1.39,1.8900000000000001,0.2764618041732442
208,9,3,-1,6.16,3.17,1.45,0.7,0.37,0.98,1.0699999999999998,0.029383777685209576
209,9,3,0,1.45,0.61,1.08,0.84,3.54,2.33,4.38,0.6414741105040995
214,9,4,-1,0.6,0.31,0.81,0.51,2.25,0.91,2.76,0.4409090820652177
215,9,4,0,0.66,0.31,0.84,1.1,0.6,1.12,1.7000000000000002,0.23044892137827397
220,10,1,-1,0.61,0.23,0.98,0.74,0.33,1.0,1.07,0.029383777685209667
221,10,1,0,0.69,0.23,0.97,3.4,1.67,2.1,5.07,0.705007959333336
226,10,2,-1,0.66,0.25,0.95,2.24,0.32,1.12,2.56,0.4082399653118496
227,10,2,0,2.05,0.25,1.15,1.16,13.35,1.18,14.51,1.161667412437736
232,10,3,-1,0.62,2.34,1.06,0.73,0.3,1.0,1.03,0.012837224705172217
233,10,3,0,0.56,0.26,0.8,1.77,1.99,0.93,3.76,0.5751878449276611
238,10,4,-1,0.72,0.33,1.02,0.73,0.33,1.03,1.06,0.02530586526477026
239,10,4,0,0.75,0.3,0.87,1.08,0.55,2.46,1.6300000000000001,0.21218760440395784
244,11,1,-1,2.0,1.27,5.15,1.26,0.39,1.32,1.65,0.21748394421390627
245,11,1,0,0.75,0.86,1.02,0.92,2.64,1.29,3.56,0.5514499979728752
250,11,2,-1,0.59,0.3,0.95,0.44,0.31,0.83,0.75,-0.12493873660829995
251,11,2,0,0.75,1.03,1.06,1.72,0.99,2.97,2.71,0.4329692908744057
256,11,3,-1,0.72,0.24,1.45,0.78,2.23,1.3,3.01,0.47856649559384334
257,11,3,0,2.08,0.36,1.5,2.76,0.43,1.57,3.19,0.5037906830571811
262,11,4,-1,0.9,0.35,0.86,0.63,0.74,0.87,1.37,0.1367205671564068
263,11,4,0,0.54,0.3,4.82,1.25,2.44,1.46,3.69,0.5670263661590603
268,12,1,-1,0.66,2.81,1.18,0.62,3.05,1.25,3.67,0.5646660642520893
269,12,1,0,0.52,4.4,1.2,1.28,4.08,1.97,5.36,0.7291647896927701
274,12,2,-1,0.76,0.29,1.02,0.46,0.23,0.9,0.6900000000000001,-0.16115090926274464
275,12,2,0,0.6,0.25,0.84,1.17,1.87,0.76,3.04,0.48287358360875376
280,12,3,-1,0.71,0.37,0.96,0.6,2.19,1.27,2.79,0.44560420327359757
281,12,3,0,0.54,0.48,1.04,1.5,0.48,1.58,1.98,0.2966651902615311
286,12,4,-1,2.19,12.37,3.97,2.92,2.41,1.02,5.33,0.7267272090265723
287,12,4,0,1.35,1.4,1.25,3.67,1.45,1.52,5.12,0.7092699609758307
